sequence,mesh terms,abstract
"[('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('c-reactive protein', 'D12.776.124.486.157'), ('exercise therapy', 'E02.831.535.483'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('frail elderly', 'M01.060.116.100.540'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('inflammation', 'C23.550.470'), ('interleukin-6', 'D23.529.374.465.224'), ('nutritional support', 'E02.642.500'), ('social support', 'I01.880.853.500.600'), ('tumor necrosis factor-alpha', 'D23.529.374.750.626')]","['Aged', 'Aged, 80 and over', 'C-Reactive Protein', 'Exercise Therapy', 'Female', 'Follow-Up Studies', 'Frail Elderly', 'Humans', 'Inflammation', 'Interleukin-6', 'Male', 'Nutritional Support', 'Social Support', 'Tumor Necrosis Factor-alpha']","b'The aim of the study was to compare the effects of home visits with physical training and nutritional support on inflammatory parameters to home visits with social support alone within a randomized controlled trial. Prefrail and frail persons received home visits from lay volunteers twice a week for 12 weeks. Participants in the physical training and nutritional intervention group (PTN, n = 35) conducted two sets of six strength exercises and received nutritional support. The social support group (SoSu, n = 23) received visits only. TNF-\xce\xb1, IL-6, CRP, and total leukocyte count were assessed at baseline and after 12 weeks. Changes over time within groups were analyzed with paired t-tests; differences between groups were analyzed with ANCOVA for repeated measurements. In the PTN group, IL-6 and CRP remained stable, whereas in the SoSu group, IL-6 increased significantly from a median value of 2.6 pg/l (min-max = 2.0-10.2) to 3.0 pg/l (min-max = 2.0-20.8), and CRP rose from 0.2 mg/dl (min-max = 0.1-0.9) to 0.3 mg/dl (min-max = 0.1-3.0) after 12 weeks. In CRP, a significant difference between groups was found. TNF-\xce\xb1 and total leukocyte count did not change in either the PTN group or the SoSu group. Persons showing an increase in physical performance (OR 4.54; 95% CI = 1.33-15.45) were more likely to have constant or decreased IL-6 values than persons who showed no improvement. In conclusion, in non-robust older adults, a physical training and nutritional support program provided by lay volunteers can delay a further increase in some inflammatory parameters.'"
"[('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('c-reactive protein', 'D12.776.124.486.157'), ('exercise therapy', 'E02.831.535.483'), ('follow-up studies', 'N06.850.520.450.500.750.350'), ('frail elderly', 'M01.060.116.100.540'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('inflammation', 'C23.550.470'), ('interleukin-6', 'D23.529.374.465.224'), ('nutritional support', 'E02.642.500'), ('social support', 'I01.880.853.500.600'), ('tumor necrosis factor-alpha', 'D23.529.374.750.626')]","['Aged', 'Aged, 80 and over', 'C-Reactive Protein', 'Exercise Therapy', 'Female', 'Follow-Up Studies', 'Frail Elderly', 'Humans', 'Inflammation', 'Interleukin-6', 'Male', 'Nutritional Support', 'Social Support', 'Tumor Necrosis Factor-alpha']",b'The safety and efficacy of vaccines to prevent Ebola virus disease (EVD) were unknown when the incidence of EVD was peaking in Liberia.'
"[('adult', 'M01.060.116'), ('blood flow velocity', 'G09.330.380.630.080'), ('brain', 'A08.186.211'), ('cholecystectomy', 'E04.502.250.520.160'), ('diuretics', 'D27.505.696.560.500.726'), ('gynecologic surgical procedures', 'E04.950.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('laparoscopy', 'E04.502.250.520'), ('mannitol', 'D09.853.609'), ('middle aged', 'M01.060.116.630'), ('oxygen consumption', 'G03.680'), ('perioperative care', 'N02.421.585.722'), ('postoperative nausea and vomiting', 'C23.888.821.937.059'), ('statistics as topic', 'N06.850.520.830'), ('vascular resistance', 'G09.330.380.921'), ('vertebral artery', 'A07.231.114.955')]","['Adult', 'Blood Flow Velocity', 'Brain', 'Cholecystectomy, Laparoscopic', 'Diuretics, Osmotic', 'Female', 'Gynecologic Surgical Procedures', 'Humans', 'Laparoscopy', 'Mannitol', 'Middle Aged', 'Oxygen Consumption', 'Perioperative Care', 'Postoperative Nausea and Vomiting', 'Statistics as Topic', 'Vascular Resistance', 'Vertebral Artery']",b'The purpose of this study was to investigate effect of cerebral oxygen saturation (SCTO2) on postoperative nausea and vomiting (PONV) in female patients who underwent laparoscopic surgery.'
"[('adult', 'M01.060.116'), ('blood flow velocity', 'G09.330.380.630.080'), ('brain', 'A08.186.211'), ('cholecystectomy', 'E04.502.250.520.160'), ('diuretics', 'D27.505.696.560.500.726'), ('gynecologic surgical procedures', 'E04.950.300'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('laparoscopy', 'E04.502.250.520'), ('mannitol', 'D09.853.609'), ('middle aged', 'M01.060.116.630'), ('oxygen consumption', 'G03.680'), ('perioperative care', 'N02.421.585.722'), ('postoperative nausea and vomiting', 'C23.888.821.937.059'), ('statistics as topic', 'N06.850.520.830'), ('vascular resistance', 'G09.330.380.921'), ('vertebral artery', 'A07.231.114.955')]","['Adult', 'Blood Flow Velocity', 'Brain', 'Cholecystectomy, Laparoscopic', 'Diuretics, Osmotic', 'Female', 'Gynecologic Surgical Procedures', 'Humans', 'Laparoscopy', 'Mannitol', 'Middle Aged', 'Oxygen Consumption', 'Perioperative Care', 'Postoperative Nausea and Vomiting', 'Statistics as Topic', 'Vascular Resistance', 'Vertebral Artery']","b'Concurrent chemoradiotherapy could increase the local control rate in patients with high recurrence risk after breast-conserving surgery, but the effect of concurrent chemoradiotherapy after mastectomy and axillary dissection is not clear. The aim of the study was to compare the effects of late-course concurrent chemoradiotherapy (CCRT) versus sequential therapy (SCRT) after mastectomy and axillary surgery in locally advanced breast cancer.'"
"[('adult', 'M01.060.116'), ('amputation', 'E04.555.080'), ('comparative effectiveness research', 'N05.425.157'), ('conservative treatment', 'E02.197'), ('equipment design', 'E05.320'), ('finger injuries', 'C26.448.429'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('occlusive dressings', 'E07.101.650'), ('pilot projects', 'N06.850.520.450.720'), ('protective devices', 'J01.637.708'), ('re-epithelialization', 'G16.762.891.750'), ('research design', 'H01.770.644.728'), ('silicones', 'J01.637.051.720.900.850'), ('soft tissue injuries', 'C26.808'), ('wound closure techniques', 'E04.987')]","['Adult', 'Amputation, Traumatic', 'Comparative Effectiveness Research', 'Conservative Treatment', 'Equipment Design', 'Female', 'Finger Injuries', 'Humans', 'Male', 'Occlusive Dressings', 'Pilot Projects', 'Protective Devices', 'Re-Epithelialization', 'Research Design', 'Silicones', 'Soft Tissue Injuries', 'Wound Closure Techniques']","b'Fingertip amputation injuries are common in all ages. Conservatively treated fingertips can regenerate skin and soft tissues to form a functionally and cosmetically excellent new fingertip. Little is known about this ability that, in humans, is confined to the fingertips. Even less is known about the role of the bacteria that regularly colonize these wounds without negative impact on regeneration and healing.As an alternative to surgery, self-adhesive film dressings are commonly used to establish a wet chamber around the injury. These dressings leak malodorous wound fluid eventually until the wound is dry. Having that into consideration, we have therefore developed a silicone finger cap that forms a mechanically protected, wet chamber around the injury for optimal regeneration conditions. It contains a puncturable reservoir for excess wound fluid, which can be thus routinely analyzed for diagnostic and research purposes.This study protocol explains the first randomized controlled trial (RCT) on the semiocclusive treatment of fingertip amputations in both children and adults comparing traditional film dressings with the novel silicone finger cap. Being the first RCT using 2 medical devices not yet certified for this indication, it will gather valuable information for the understanding of fingertip regeneration and the design of future definitive studies.'"
"[('adult', 'M01.060.116'), ('amputation', 'E04.555.080'), ('comparative effectiveness research', 'N05.425.157'), ('conservative treatment', 'E02.197'), ('equipment design', 'E05.320'), ('finger injuries', 'C26.448.429'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('occlusive dressings', 'E07.101.650'), ('pilot projects', 'N06.850.520.450.720'), ('protective devices', 'J01.637.708'), ('re-epithelialization', 'G16.762.891.750'), ('research design', 'H01.770.644.728'), ('silicones', 'J01.637.051.720.900.850'), ('soft tissue injuries', 'C26.808'), ('wound closure techniques', 'E04.987')]","['Adult', 'Amputation, Traumatic', 'Comparative Effectiveness Research', 'Conservative Treatment', 'Equipment Design', 'Female', 'Finger Injuries', 'Humans', 'Male', 'Occlusive Dressings', 'Pilot Projects', 'Protective Devices', 'Re-Epithelialization', 'Research Design', 'Silicones', 'Soft Tissue Injuries', 'Wound Closure Techniques']","b'Enhanced recovery after surgery (ERAS) programs have been shown to decrease postoperative complications and hospital stay in pancreaticoduodenectomy. However, no studies concerned recovery after discharge except readmission. This study evaluated an ERAS program for pancreaticoduodenectomy from hospital to home.A prospective ERAS cohort undergoing elective pancreaticoduodenectomy was compared with a retrospective control group in terms of postoperative complications and hospital stay, and home recovery after discharge. Propensity-score matching was used to balance their baselines.Two groups of 31 patients with similar propensity scores were established. Postoperative morbidities were 18 of 31 and 26 of 31 in the ERAS and control groups, respectively (P\xe2\x80\x8a=\xe2\x80\x8a.06). Patients in the ERAS group suffered from fewer cardiovascular complications (3/31 vs 11/31; P\xe2\x80\x8a=\xe2\x80\x8a.04) and intestinal dysbacteriosis (4/31 vs 13/31; P\xe2\x80\x8a=\xe2\x80\x8a.04). Median postoperative hospital stay was shorter in the ERAS group (8 vs 16 days; P\xe2\x80\x8a<\xe2\x80\x8a.001). Although the 2 groups were similar in terms of sleep, defecation, vigor, performance status, and pain control in first month after discharge, patients in the ERAS group enjoyed better food intake recovery (18/31 vs 5/31 in first week, P\xe2\x80\x8a=\xe2\x80\x8a.002; 22/31 vs 9/31 in second week, P\xe2\x80\x8a=\xe2\x80\x8a.008; 23/31 vs 13/31 in fourth week, P\xe2\x80\x8a=\xe2\x80\x8a.01) and fewer weight loss (10/31 vs 19/31; P\xe2\x80\x8a=\xe2\x80\x8a.05). Multivariate analyses showed that both improvements were associated with no bowel preparation.ERAS implementation in selected patients undergoing pancreaticoduodenectomy could promise better outcomes, not only in the hospital but also at home in the short term.'"
"[('aged', 'M01.060.116.100.080'), ('atrial fibrillation', 'C23.550.073.198'), ('catheter ablation', 'E04.014.085'), ('catheters', 'E07.132.500'), ('electrocardiography', 'E01.370.520.500.230'), ('equipment design', 'E05.320'), ('fluoroscopy', 'E01.370.350.700.225'), ('heart atria', 'A07.541.358'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('image interpretation', 'L01.313.500.750.100.158.600'), ('imaging', 'L01.224.308.410'), ('middle aged', 'M01.060.116.630'), ('occupational exposure', 'N06.850.460.350.600'), ('patient safety', 'N06.850.135.060.075.399'), ('pulmonary veins', 'A07.231.908.713'), ('radiation exposure', 'N06.850.460.350.850'), ('risk management', 'N04.452.871'), ('surgery', 'L01.313.500.750.100.710.800'), ('time factors', 'G01.910.857')]","['Aged', 'Atrial Fibrillation', 'Catheter Ablation', 'Catheters', 'Electrocardiography', 'Equipment Design', 'Female', 'Fluoroscopy', 'Heart Atria', 'Humans', 'Image Interpretation, Computer-Assisted', 'Imaging, Three-Dimensional', 'Male', 'Middle Aged', 'Occupational Exposure', 'Patient Safety', 'Pulmonary Veins', 'Radiation Exposure', 'Risk Management', 'Surgery, Computer-Assisted', 'Time Factors']",b'Conventional ablation of paroxysmal atrial fibrillation (PAF) is associated with radiation risks for patients and laboratory staff. Three-dimensional (3D) mapping system capable of showing contact force (CF) and direction of catheter tip may compensate for nonfluoroscopic safety issues.'
"[('aged', 'M01.060.116.100.080'), ('atrial fibrillation', 'C23.550.073.198'), ('catheter ablation', 'E04.014.085'), ('catheters', 'E07.132.500'), ('electrocardiography', 'E01.370.520.500.230'), ('equipment design', 'E05.320'), ('fluoroscopy', 'E01.370.350.700.225'), ('heart atria', 'A07.541.358'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('image interpretation', 'L01.313.500.750.100.158.600'), ('imaging', 'L01.224.308.410'), ('middle aged', 'M01.060.116.630'), ('occupational exposure', 'N06.850.460.350.600'), ('patient safety', 'N06.850.135.060.075.399'), ('pulmonary veins', 'A07.231.908.713'), ('radiation exposure', 'N06.850.460.350.850'), ('risk management', 'N04.452.871'), ('surgery', 'L01.313.500.750.100.710.800'), ('time factors', 'G01.910.857')]","['Aged', 'Atrial Fibrillation', 'Catheter Ablation', 'Catheters', 'Electrocardiography', 'Equipment Design', 'Female', 'Fluoroscopy', 'Heart Atria', 'Humans', 'Image Interpretation, Computer-Assisted', 'Imaging, Three-Dimensional', 'Male', 'Middle Aged', 'Occupational Exposure', 'Patient Safety', 'Pulmonary Veins', 'Radiation Exposure', 'Risk Management', 'Surgery, Computer-Assisted', 'Time Factors']","b""Oral morphine for postoperative pain after minor pediatric surgery, while increasingly popular, is not supported by evidence. We evaluated whether oral morphine was superior to ibuprofen for at-home management of children's postoperative pain."""
"[('abdominal fat', 'A10.165.114.830.500'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('blood pressure', 'G09.330.380.076'), ('cholesterol', 'D12.776.521.622.700'), ('cholesterol', 'D12.776.521.622.700'), ('dietary proteins', 'J02.500.428'), ('eating', 'G10.261.330'), ('energy intake', 'G07.203.650.240.340'), ('exercise', 'I03.350'), ('heart rate', 'G09.330.380.500.430'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('muscle', 'A10.690.552.500'), ('organ size', 'G07.345.249.690'), ('triglycerides', 'D10.351.801')]","['Abdominal Fat', 'Aged', 'Aged, 80 and over', 'Blood Pressure', 'Cholesterol, HDL', 'Cholesterol, LDL', 'Dietary Proteins', 'Eating', 'Energy Intake', 'Exercise', 'Female', 'Heart Rate', 'Humans', 'Male', 'Middle Aged', 'Muscle, Skeletal', 'Organ Size', 'Triglycerides']","b'The effect of small-sided team sport training and protein intake on muscle mass, physical function, and adaptations important for health in untrained older adults was examined. Forty-eight untrained older (72\xc2\xb16 (\xc2\xb1standard deviation, SD) years men and women were divided into either a team sport group ingesting a drink high in protein (18 g) immediately and 3 h after each training session (TS-HP, n = 13), a team sport group ingesting an isocaloric drink with low protein content (3 g; TS-LP, n = 18), or a control group continuing their normal activities (CON, n = 17). The team sport training was performed as ~20 min of small-sided ball games twice a week over 12 weeks. After the intervention period, leg muscle mass was 0.6 kg higher (P = 0.047) in TS-HP, with no effect in TS-LP. In TS-HP, number of sit-to-stand repetitions increased (1.2\xc2\xb10.6, P = 0.054), time to perform 2.45 m up-and-go was lower (0.7\xc2\xb10.3 s, P = 0.03) and number of arm curl repetitions increased (3.5\xc2\xb11.2, P = 0.01), whereas in TS-LP only number of repetitions in sit-to-stand was higher (1.6\xc2\xb10.6, P = 0.01). In TS-LP, reductions were observed in total and abdominal fat mass (1.2\xc2\xb10.5 and 0.4\xc2\xb10.2 kg, P = 0.03 and P = 0.02, respectively), heart rate at rest (9\xc2\xb13 bpm, P = 0.002) and plasma C-reactive protein (1.8\xc2\xb10.8 mmol/L, P = 0.03), with no effects in TS-HP. Thus, team sport training improves functional capacity of untrained older adults and increases leg muscle mass only when ingesting proteins after training. Furthermore, team sport training followed by intake of drink with low protein content does lower fat mass, heart rate at rest and level of systemic inflammation.'"
"[('abdominal fat', 'A10.165.114.830.500'), ('aged', 'M01.060.116.100.080'), ('aged', 'M01.060.116.100.080'), ('blood pressure', 'G09.330.380.076'), ('cholesterol', 'D12.776.521.622.700'), ('cholesterol', 'D12.776.521.622.700'), ('dietary proteins', 'J02.500.428'), ('eating', 'G10.261.330'), ('energy intake', 'G07.203.650.240.340'), ('exercise', 'I03.350'), ('heart rate', 'G09.330.380.500.430'), ('humans', 'B01.050.150.900.649.801.400.112.400.400'), ('middle aged', 'M01.060.116.630'), ('muscle', 'A10.690.552.500'), ('organ size', 'G07.345.249.690'), ('triglycerides', 'D10.351.801')]","['Abdominal Fat', 'Aged', 'Aged, 80 and over', 'Blood Pressure', 'Cholesterol, HDL', 'Cholesterol, LDL', 'Dietary Proteins', 'Eating', 'Energy Intake', 'Exercise', 'Female', 'Heart Rate', 'Humans', 'Male', 'Middle Aged', 'Muscle, Skeletal', 'Organ Size', 'Triglycerides']",b'Recommendations for vitamin D supplementation for preterm infants span a wide range of doses. Response to vitamin D supplementation and impact on outcomes in preterm infants is not well understood.'
